Name,Price,Grammage,IsOffer,Category,Price (EUR/ Kg),net_carbs,sugar,fiber,saturated_fat,protein,energy,carbohydrates,sodium,calcium,monounsaturated_fat,vitamin_c,cholesterol,fat,iron,polyunsaturated_fat,potassium,vitamin_a,grams,trans_fat,energy (kcal),Search Result Name,Search Result Brand,vitamin_d,sugar_alcohols,added_sugars
Rügenwalder Mühle Veganer Hauchschnitt...,"1,59 €","70g (1 kg = 22,71 €)",False,Vegane Vielfalt,22.71,3.4,0.5,6.4,0.3,8.4,"{'unit': 'calories', 'value': 92.0}",9.8,,,2.3,,,3.6,,1.0,,,1.0,,92.0,veganer Hauchschnitt,Rügenwalder Mühle,,,
Cherry Romatomaten 250g,"1,09 €","250g (1 kg = 4,36 €)",True,International,4.36,2.8,0.0,0.0,0.0,0.8,"{'unit': 'calories', 'value': 15.0}",2.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Cherry Romatomaten,Penny,,,
Arla Kaergarden Ungesalzen aus Butter...,"2,39 €","200g (1 kg = 11,95 €)",False,International,11.95,0.6,0.6,0.0,37.0,0.5,"{'unit': 'calories', 'value': 680.0}",0.6,3.9,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,680.0,Butter Ungesalzen,Arla Kærgarden,,,
Arla Kaergarden Gesalzen aus Butter &...,"2,39 €","200g (1 kg = 11,95 €)",False,International,11.95,0.6,0.0,0.0,37.0,0.5,"{'unit': 'calories', 'value': 679.0}",0.6,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,679.0,Butter gesalzen,Arla Kærgården,,,
REWE Bio Mini Cherry Rispentomaten 200g,"2,19 €","250g (1 kg = 8,76 €)",False,International,8.76,3.9,0.0,0.0,0.0,0.9,"{'unit': 'calories', 'value': 18.0}",3.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,18.0,Bio Rispentomaten,Rewe,,,
M&M's Peanut 250g,"3,99 €","250g (1 kg = 15,96 €)",False,International,15.96,16.0,14.0,1.0,3.0,3.0,"{'unit': 'calories', 'value': 140.0}",17.0,15.0,3.0,,,0.0,8.0,3.33333,,110.0,,28.0,0.0,140.0,Peanut M&M's,M&M's,0.0,,13.0
The Vegetarian Butcher Crispy Chickimicki...,"3,29 €","180g (1 kg = 18,28 €)",False,International,18.28,12.0,1.2,5.4,1.0,7.9,"{'unit': 'calories', 'value': 218.0}",17.4,433.071,,,,,14.0,15.0,,,,1.0,,218.0,Crispy Chickimicki Burger,The Vegetarian Butcher,,,
REWE Bio Mozzarella 125g,"1,19 €","125g (1 kg = 9,52 €)",False,International,9.52,20.0,,,,2.5,"{'unit': 'calories', 'value': 89.0}",20.0,,,,,,1.2,,,,,1.0,,89.0,Kumquat 125g,Rewe Bio,,,
REWE Bio Rispentomaten 500g,"2,89 €","500g (1 kg = 5,78 €)",False,International,5.78,3.9,0.0,0.0,0.0,0.9,"{'unit': 'calories', 'value': 18.0}",3.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,18.0,Bio Rispentomaten,Rewe,,,
Zitronen 500g im Netz,"0,99 €","500g (1 kg = 1,98 €)",False,International,1.98,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
REWE Bio Zuckermais vakuumiert 400g,"2,49 €","400g (1 kg = 6,23 €)",False,International,6.23,17.0,6.6,4.0,0.4,3.5,"{'unit': 'calories', 'value': 104.0}",21.0,,,,,,1.7,,,,,1.0,,104.0,Zuckermais vakuumiert,Rewe Beste Wahl,,,
Knoblauch 200g im Netz,"1,39 €","200g (1 kg = 6,95 €)",False,International,6.95,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
Elinas Joghurt Griechischer Art Natur...,"2,15 €","4x150g (1 kg = 3,58 €)",False,International,3.58,4.0,0.0,0.0,5.8,3.3,"{'unit': 'calories', 'value': 114.0}",4.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,1.0,0.0,114.0,Joghurt griechischer Art,Elinas,,,
REWE Feine Welt Burrata aus Apulien 250g,"1,89 €","100g (1 kg = 18,90 €)",False,International,18.9,2.0,2.0,,15.3,8.0,"{'unit': 'calories', 'value': 255.0}",2.0,54.0,,,,,23.9,,,,,1.0,,255.0,Burrata,Rewe Feine Welt,,,
Giovanni Ferrari Grana Padano gerieben 60g,"2,19 €","60g (1 kg = 36,50 €)",False,International,36.5,,0.0,0.0,18.0,33.0,"{'unit': 'calories', 'value': 398.0}",,1500.0,116.5,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,398.0,Grana Padano,Giovanni Ferrari,,,
Marca Italia Grana Padano Gerieben 150g,"2,49 €","150g (1 kg = 16,60 €)",False,International,16.6,0.0,0.0,0.0,18.0,33.0,"{'unit': 'calories', 'value': 398.0}",0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,398.0,Grana Padano gerieben,Grana Padano,,,
Barilla Pastasauce Basilico 400g,"3,19 €","400g (1 kg = 7,98 €)",False,International,7.98,6.8,6.5,,,1.4,"{'unit': 'calories', 'value': 39.0}",6.8,,,,,,0.3,,,,,1.0,,39.0,Pastasauce Basilico,Norma,,,
REWE Bio Kichererbsen 215g,"0,85 €","215g (1 kg = 3,95 €)",False,International,3.95,14.0,0.4,0.0,0.4,6.5,"{'unit': 'calories', 'value': 120.0}",14.0,0.1,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,120.0,Kichererbsen,REWE Bio,,,
Marca Italia Grana Padano 16 Monate 200g,"3,29 €","200g (1 kg = 16,45 €)",False,International,16.45,0.0,0.0,,18.0,33.0,"{'unit': 'calories', 'value': 398.0}",0.0,1500.0,,,,,29.0,,,,,1.0,,398.0,16 Monate,Grana Padano DOP,,,
REWE Bio Mini Mozzarella 125g,"1,49 €","125g (1 kg = 11,92 €)",False,International,11.92,0.0,0.0,0.0,0.0,0.0,"{'unit': 'calories', 'value': 199.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,125g Mozzarella Minis,125g Mozzarella Minis,,,
Barilla Pastasauce Arrabbiata 400g,"3,19 €","400g (1 kg = 7,98 €)",False,International,7.98,9.0,6.0,,0.2,2.0,"{'unit': 'calories', 'value': 63.0}",9.0,0.85,,,,,1.7,,,,,1.0,,63.0,Pastasauce Arrabbiata,GoÖko,,,
Marka Hellas Feta 200g,"2,19 €","200g (1 kg = 10,95 €)",False,International,10.95,1.2,1.2,,18.2,21.6,"{'unit': 'calories', 'value': 334.0}",1.2,2800.0,,,,,26.4,,,,,1.0,,334.0,Halloumi,Marka Hellas,,,
REWE Bio Feta 200g,"2,79 €","200g (1 kg = 13,95 €)",False,International,13.95,1.0,1.0,,16.0,16.0,"{'unit': 'calories', 'value': 275.0}",1.0,2.5,,,,,23.0,,,,,1.0,,275.0,Feta,Rewe Bio Feta,,,
Ponnath Prosciutto Cotto 150g,"2,99 €","150g (1 kg = 19,93 €)",False,International,19.93,1.0,0.8,,,20.0,"{'unit': 'calories', 'value': 107.0}",1.0,,,,,,2.5,,,,,1.0,,107.0,Prosciutto Cotto,Ponnath,,,
Ferrari Parmigiano Reggiano 60g,"2,19 €","60g (1 kg = 36,50 €)",False,International,36.5,0.0,,,18.0,33.0,"{'unit': 'calories', 'value': 398.0}",0.0,,,,,,29.0,,,,,1.0,,398.0,parmigiano REGGIANO,parmigiano REGGIANO ferrari,,,
REWE Bio Bacon-Würfel Schwein 80g,"1,59 €","80g (1 kg = 19,88 €)",False,International,19.88,1.0,1.0,,12.9,13.2,"{'unit': 'calories', 'value': 348.0}",1.0,1200.0,,,,,32.3,,,,,1.0,,348.0,Bacon-würfel,Rewe Bio,,,
Mini Pak Choi 300g,"2,19 €","300g (1 kg = 7,30 €)",False,International,7.3,1.3,0.0,0.0,0.0,1.0,"{'unit': 'calories', 'value': 12.0}",1.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,12.0,Real - Mini Pak çhoi,Mini Pak Choi - Real,,,
Galbani Mozzarella 125g,"1,99 €","125g (1 kg = 15,92 €)",False,International,15.92,2.0,1.0,1.0,13.0,17.0,"{'unit': 'calories', 'value': 238.0}",3.0,700.0,73.0,,,,18.0,1.0,,,3.0,1.0,,238.0,Mozzarella 125g,Galbani,,,
REWE Bio Parmigiano Reggiano 150g,"3,99 €","150g (1 kg = 26,60 €)",False,International,26.6,0.0,0.0,,20.0,32.0,"{'unit': 'calories', 'value': 402.0}",0.0,,,0.0,,,30.0,,0.0,,,1.0,0.0,402.0,Parmigiano Reggiano,Rewe Bio,,,
Marca Italia Parmigiano Reggiano 200g,"4,39 €","200g (1 kg = 21,95 €)",False,International,21.95,0.0,,,,32.0,"{'unit': 'calories', 'value': 403.0}",0.0,,,,,,30.0,,,,,1.0,,403.0,parmigiano reggiano gerieben,marca italia,,,
Butcher's Burger Sesam Burger Buns 4 Stück,"1,19 €","300g (1 kg = 3,97 €)",False,International,3.97,50.8,6.6,3.2,0.5,9.0,"{'unit': 'calories', 'value': 293.0}",54.0,0.98,,,,,5.3,,,,,1.0,,293.0,Sesam Burger Buns,Butcher's Burger,,,
Barilla Spaghetti Nr.5 500g,"2,09 €","500g (1 kg = 4,18 €)",False,International,4.18,71.0,3.0,3.0,0.0,12.0,"{'unit': 'calories', 'value': 356.0}",74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,356.0,Spaghetti Nr. 5,Barilla,,,
REWE Bio Skyr Natur 400g,"1,39 €","400g (1 kg = 3,48 €)",False,International,3.48,3.5,3.5,,0.1,11.0,"{'unit': 'calories', 'value': 60.0}",3.5,,,,,,0.2,,,,,1.0,,60.0,Skyr,Rewe Bio Skyr Natur,,,
Kerrygold Cheddar Scheiben herzhaft 150g,"2,99 €","150g (1 kg = 19,93 €)",False,International,19.93,0.0,0.0,0.0,20.0,26.0,"{'unit': 'calories', 'value': 392.0}",0.0,1900.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,392.0,"Cheddar, Herzhaft (Scheiben)",Kerrygold,,,
REWE Beste Wahl Gnocchi 400g,"1,89 €","400g (1 kg = 4,73 €)",False,International,4.73,32.0,0.3,,0.3,3.3,"{'unit': 'calories', 'value': 149.0}",32.0,,,,,,0.6,,,,,1.0,,149.0,Gnocchi,Gnocchi Rewe Beste Wahl,,,
Barilla Pastasauce Napoletana 400g,"3,19 €","400g (1 kg = 7,98 €)",False,International,7.98,6.2,5.2,1.8,0.4,1.4,"{'unit': 'calories', 'value': 67.0}",8.0,960.0,,,,,3.7,,,,,1.0,,67.0,Napoletana 400g,Barilla,,,
Citterio Prosciutto di Parma 70g,"3,39 €","70g (1 kg = 48,43 €)",False,International,48.43,0.0,0.0,0.0,1.5,8.0,"{'unit': 'calories', 'value': 62.0}",0.0,520.0,0.0,,,20.0,3.5,2.0,,,,28.0,0.0,62.0,Prosciutto di Parma,Citterio,,,
Marca Italia Gorgonzola 200g,"2,59 €","200g (1 kg = 12,95 €)",False,International,12.95,3.2,3.2,,6.2,10.0,"{'unit': 'calories', 'value': 134.0}",3.2,,,,,,9.0,,,,,1.0,,134.0,Ricotta [250g],Marca Italia,,,
Barilla Penne Rigate Nr.73 500g,"2,09 €","500g (1 kg = 4,18 €)",False,International,4.18,72.2,0.4,,0.2,12.0,"{'unit': 'calories', 'value': 350.0}",72.2,,,,,,1.5,,,,,1.0,,350.0,Penne Rigate No.73,Barilla,,,
Fritz Mühlenbäckerei Bio Dinkel Kürbisbrot 750g,"6,79 €","750g (1 kg = 9,05 €)",False,Regional,9.05,38.0,0.5,,0.1,6.0,"{'unit': 'calories', 'value': 186.0}",38.0,1500.0,,,,,1.1,,,,,1.0,,186.0,Bio Roggenbrot 750g,Fritz Mühlenbäckerei,,,
Spargelhof Schlaffer Spargel weiß im Bund...,"9,90 €","500g (1 kg = 19,80 €)",False,Regional,19.8,2.0,0.0,0.0,0.0,1.9,"{'unit': 'calories', 'value': 18.0}",2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,9.0,1.0,0.0,18.0,"Spargel, grün",Heizleiter Spargelhof,,,
"Obstbau Brög Äpfel Elstar im Beutel 2,5kg","3,99 €","2,50kg (1 kg = 1,60 €)",False,Regional,1.6,19.6,,,,0.42,"{'unit': 'calories', 'value': 77.0}",19.6,,,,,,0.8,,,,,1.0,,77.0,Apfel Elstar,Obstbau Dellbrügge,,,
Antersdorfer Bio Dinkel pur 1kg,"3,89 €",1kg,False,Regional,3.89,60.0,0.7,10.0,0.2,17.0,"{'unit': 'calories', 'value': 343.0}",70.0,,,,,,1.7,,,,,1.0,,343.0,Dinkel Pur,Antersdorfer,,,
Metzgerei Vinzenzmurr Delikatess Leberwurst...,"3,49 €","250g (1 kg = 13,96 €)",False,Regional,13.96,2.4,,,,16.0,"{'unit': 'calories', 'value': 282.0}",2.4,,,,,,23.0,,,,,1.0,,282.0,Delikatesse Leberwurst,Metzgerei  Bauer,,,
Oberbayrische Schmankerl Wildschwe...,"5,49 €","120g (1 kg = 45,75 €)",False,Regional,45.75,16.9,1.8,,1.0,7.9,"{'unit': 'calories', 'value': 139.0}",16.9,,,,,,4.4,,,,,1.0,,139.0,Spinat-Grillis,Oberbayrische  Schmankerl,,,
Anderlbauer Bio Ziegenkäse 180g,"6,99 €","180g (1 kg = 38,83 €)",False,Regional,38.83,0.0,0.0,,12.12,16.55,"{'unit': 'calories', 'value': 280.0}",0.0,0.0,,,,,22.5,,,,,1.0,,280.0,Ziegenkäse,Anderlbauer,,,
Fritz Mühlenbäckerei Bio Dinkel-Hafer-Roggen...,"4,19 €","600g (1 kg = 6,98 €)",True,Regional,6.98,43.8,1.0,0.0,0.2,7.81,"{'unit': 'calories', 'value': 218.1}",43.8,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,218.0,Bio-Dinkel-Hafer-Brot,Fritz  Mühlenbäckerei,,,
REWE Regional Rinderhackfleisch 500g,"5,98 €","500g (1 kg = 11,96 €)",False,Regional,11.96,0.0,0.0,0.0,0.0,19.0,"{'unit': 'calories', 'value': 220.0}",0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,220.0,Rinderhackfleisch,Rewe,,,
REWE Regional Hähnchen Innenbrustfil...,"4,99 €","350g (1 kg = 14,26 €)",False,Regional,14.26,0.0,0.0,,0.0,0.0,"{'unit': 'calories', 'value': 178.0}",0.0,,,,,,0.0,,,,,1.0,,178.0,Hähnchen-Geschnetzeltes,Rewe Regional,,,
REWE Regional Hähnchenbrustfilet 550g,"6,99 €","550g (1 kg = 12,71 €)",False,Regional,12.71,1.5,0.0,0.0,0.0,20.0,"{'unit': 'calories', 'value': 131.0}",1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,131.0,Hähnchenbrustfilet,rewe,,,
REWE Regional Hähnchen...,"5,99 €","400g (1 kg = 14,98 €)",False,Regional,14.98,0.0,0.0,,0.0,0.0,"{'unit': 'calories', 'value': 178.0}",0.0,,,,,,0.0,,,,,1.0,,178.0,Hähnchen-Geschnetzeltes,Rewe Regional,,,
UNSER LAND Bio Zwiebeln 1kg,"2,49 €",1kg,False,Regional,2.49,29.2,0.9,0.0,2.1,35.1,"{'unit': 'calories', 'value': 416.0}",29.2,6.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,1.0,0.0,416.0,Sojabohnen Bio,Unser Land,,,
REWE Regional Laugenbrezen 5 Stück,"2,49 €","618g (1 kg = 4,03 €)",False,Regional,4.03,1.0,1.0,,7.2,12.0,"{'unit': 'calories', 'value': 214.0}",1.0,2000.0,,,,,18.0,,,,,1.0,,214.0,Delikatess Bockwürstchen 5 Stück - ja!,Rewe,,,
UNSER LAND Bio Kartoffeln festkochend...,"4,29 €","2kg (1 kg = 2,15 €)",False,Regional,2.15,15.0,0.0,1.2,0.0,1.9,"{'unit': 'calories', 'value': 73.0}",16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,Kartoffeln festkochend,Kartoffeln,,,
UNSER LAND Bio Kartoffeln vorwiegend...,"4,29 €","2kg (1 kg = 2,15 €)",False,Regional,2.15,3.12,0.66,0.88,0.34,0.67,"{'unit': 'calories', 'value': 80.0}",4.0,1.05,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,1.0,0.0,80.0,Bio Kartoffeln Suppe,Unser Land,,,
Rosenmehl Weizenmehl Type 405 1kg,"1,69 €",1kg,False,Regional,1.69,72.3,0.7,2.8,0.1,10.0,"{'unit': 'calories', 'value': 343.0}",75.1,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,343.0,Weizenmehl Type 405,Rosenmehl,,,
Gottschaller Biohofbäckerei Bio...,"2,99 €","500g (1 kg = 5,98 €)",False,Regional,5.98,48.3,1.8,,0.2,8.0,"{'unit': 'calories', 'value': 249.0}",48.3,620.0,,,,,1.3,,,,,1.0,,249.0,Gottschaller Bio-Schwabenlaib,Gottschaller Biohofbäckerei,,,
REWE Regional Hackfleisch gemischt...,"5,98 €","500g (1 kg = 11,96 €)",False,Regional,11.96,0.0,,,8.5,18.0,"{'unit': 'calories', 'value': 234.0}",0.0,,,,,,18.0,,,,,1.0,,234.0,Hackfleisch,Rewe Regional Hack gemischt,,,
"UNSER LAND Bio Kartoffel-Riesen 1,5kg","2,99 €","1,50kg (1 kg = 1,99 €)",False,Regional,1.99,29.2,0.9,0.0,2.1,35.1,"{'unit': 'calories', 'value': 416.0}",29.2,6.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,1.0,0.0,416.0,Sojabohnen Bio,Unser Land,,,
REWE Regional Hähnchen Unterschenk...,"3,99 €","600g (1 kg = 6,65 €)",False,Regional,6.65,0.5,,,,18.2,"{'unit': 'calories', 'value': 176.0}",0.5,1.9,,,,,11.2,,,,,1.0,,176.0,Hähnchen Unterschenkel,Rewe regional,,,
Fritz Mühlenbäckerei Bio Roggenbrot 750g,"4,45 €","750g (1 kg = 5,93 €)",False,Regional,5.93,38.0,0.5,,0.1,6.0,"{'unit': 'calories', 'value': 186.0}",38.0,1500.0,,,,,1.1,,,,,1.0,,186.0,Bio Roggenbrot 750g,Fritz Mühlenbäckerei,,,
REWE Regional Rinderhackfleisch 250g,"2,99 €","250g (1 kg = 11,96 €)",False,Regional,11.96,0.0,0.0,0.0,0.0,19.0,"{'unit': 'calories', 'value': 220.0}",0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,220.0,Rinderhackfleisch,Rewe,,,
REWE Regional Paprika Spitz Mix 220g,"2,99 €","220g (1 kg = 13,59 €)",False,Regional,13.59,7.0,0.0,0.0,0.0,1.0,"{'unit': 'calories', 'value': 19.0}",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,1.0,0.0,19.0,Tribelli XL Paprika Spitz-Mix,Rewe Beste Wahl,,,
REWE Feine Welt Portobello Pilze 200g,"3,69 €","200g (1 kg = 18,45 €)",False,Obst & Gemüse,18.45,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Romatomaten 250g,"1,09 €","250g (1 kg = 4,36 €)",True,Obst & Gemüse,4.36,2.8,0.0,0.0,0.0,0.8,"{'unit': 'calories', 'value': 15.0}",2.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Cherry Romatomaten,Penny,,,
Paprika rot 500g,"2,49 €","500g (1 kg = 4,98 €)",False,Obst & Gemüse,4.98,,,,,,"{'unit': 'calories', 'value': 20.0}",,,,,,,,,,,,1.0,,20.0,Paprika rot,Bio Paprika rot,,,
Tafeltrauben hell kernlos 500g,"1,99 €","500g (1 kg = 3,98 €)",False,Obst & Gemüse,3.98,16.0,,,,0.8,"{'unit': 'calories', 'value': 69.0}",16.0,,,,,,0.4,,,,,1.0,,69.0,Tafeltrauben kernlos hell,Rewe,,,
REWE Bio Erdbeeren 300g,"2,99 €","300g (1 kg = 9,97 €)",False,Obst & Gemüse,9.97,5.5,,,,0.8,"{'unit': 'calories', 'value': 29.0}",5.5,,,,,,0.4,,,,,1.0,,29.0,Erdbeeren,Rewe Bio,,,
REWE Bio Möhren 1kg,"2,19 €",1kg,False,Obst & Gemüse,2.19,6.5,,,0.1,2.2,"{'unit': 'calories', 'value': 187.0}",6.5,,,,,,0.2,,,,,1.0,,187.0,Erbsen & Möhren,Rewe Bio,,,
REWE Bio Mini Cherry Rispentomaten 200g,"2,19 €","250g (1 kg = 8,76 €)",False,Obst & Gemüse,8.76,3.9,0.0,0.0,0.0,0.9,"{'unit': 'calories', 'value': 18.0}",3.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,18.0,Bio Rispentomaten,Rewe,,,
REWE Bio Zitrone 500g im Netz,"1,59 €","500g (1 kg = 3,18 €)",False,Obst & Gemüse,3.18,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
Bio Heidelbeeren 175g,"2,99 €","175g (1 kg = 17,09 €)",False,Obst & Gemüse,17.09,9.1,8.1,0.0,0.1,0.5,"{'unit': 'calories', 'value': 48.0}",9.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,48.0,Heidelbeeren,bio,,,
REWE Bio Rispentomaten 500g,"2,89 €","500g (1 kg = 5,78 €)",False,Obst & Gemüse,5.78,3.9,0.0,0.0,0.0,0.9,"{'unit': 'calories', 'value': 18.0}",3.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,18.0,Bio Rispentomaten,Rewe,,,
Speisezwiebeln 1kg im Netz,"1,59 €",1kg,False,Obst & Gemüse,1.59,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
Tafeltrauben blau kernlos 500g,"2,49 €","500g (1 kg = 4,98 €)",False,Obst & Gemüse,4.98,15.0,14.0,,,0.0,"{'unit': 'calories', 'value': 68.0}",15.0,,,,,,0.0,,,,,1.0,,68.0,Kernlos,Tafeltrauben,,,
Bio Paprika 400g,"2,89 €","400g (1 kg = 7,23 €)",False,Obst & Gemüse,7.23,6.5,,,,1.3,"{'unit': 'calories', 'value': 38.0}",6.5,,,,,,0.5,,,,,1.0,,38.0,Paprika,Bio Paprika,,,
REWE Bio Champignons braun 250g,"1,99 €","250g (1 kg = 7,96 €)",False,Obst & Gemüse,7.96,2.7,0.0,0.0,0.1,1.9,"{'unit': 'calories', 'value': 26.0}",2.7,0.75,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Braune Champignons (Glas),Rewe,,,
Kartoffeln festkochend 2kg,"2,99 €","2kg (1 kg = 1,50 €)",False,Obst & Gemüse,1.5,15.0,0.0,1.2,0.0,1.9,"{'unit': 'calories', 'value': 73.0}",16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,Kartoffeln festkochend,Kartoffeln,,,
REWE Bio Zucchini 500g,"1,69 €","500g (1 kg = 3,38 €)",False,Obst & Gemüse,3.38,1.0,0.0,0.0,0.0,1.0,"{'unit': 'calories', 'value': 80.0}",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,Bio Äpfel 500g,REWE,,,
Zwiebel rot 500g im Netz,"1,69 €","500g (1 kg = 3,38 €)",False,Obst & Gemüse,3.38,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
Zitronen 500g im Netz,"0,99 €","500g (1 kg = 1,98 €)",False,Obst & Gemüse,1.98,0.4,0.2,0.0,2.3,19.3,"{'unit': 'calories', 'value': 165.0}",0.4,1.38,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.0,0.0,165.0,im Netz,Kalbsbraten,,,
Broccoli 500g,"1,49 €","500g (1 kg = 2,98 €)",False,Obst & Gemüse,2.98,4.0,,3.1,,5.4,"{'unit': 'calories', 'value': 51.0}",7.1,300.0,,,,,0.8,,,,,1.0,,51.0,Riced Broccoli 500g,Morrisons,,,
Erdbeeren 500g,"2,49 €","500g (1 kg = 4,98 €)",False,Obst & Gemüse,4.98,38.4,0.0,0.0,0.0,3.35,"{'unit': 'calories', 'value': 160.0}",38.4,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,160.0,Erdbeeren 500g,Biohof Seemann,,,
REWE Bio Äpfel rot 1kg,"3,49 €",1kg,False,Obst & Gemüse,3.49,7.4,5.0,1.6,,0.8,"{'unit': 'calories', 'value': 45.0}",9.0,,,,,,0.2,,,,,1.0,,45.0,Grapefruit Rot Bio,Rewe,,,
Kartoffeln Drillinge festkochend 1kg,"2,19 €",1kg,True,Obst & Gemüse,2.19,15.0,0.0,1.2,0.0,1.9,"{'unit': 'calories', 'value': 73.0}",16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,Kartoffeln festkochend,Kartoffeln,,,
REWE Bio Rinderhackfleisch 400g,"7,49 €","400g (1 kg = 18,73 €)",False,Fleisch & Fisch,18.73,0.5,,,6.8,20.0,"{'unit': 'calories', 'value': 235.0}",0.5,0.0,,,,,17.0,0.0,,,,1.0,,235.0,Rinderhackfleisch,rewe bio,,,
Beyond Meat Beyond Hack vegan 300g,"3,99 €","300g (1 kg = 13,30 €)",False,Fleisch & Fisch,13.3,5.6,,,5.6,17.0,"{'unit': 'calories', 'value': 252.0}",5.6,,,,,,19.0,,,,,1.0,,252.0,Vegan,Beyond meat,,,
Planted. Pulled BBQ vegan 160g,"2,99 €","160g (1 kg = 18,69 €)",False,Fleisch & Fisch,18.69,6.6,3.2,,0.6,19.0,"{'unit': 'calories', 'value': 138.0}",6.6,,,,,,3.3,,,,,1.0,,138.0,Pulled BBQ [160g],planted.,,,
REWE Bio Wiener Würstchen 200g,"3,29 €","200g (1 kg = 16,45 €)",False,Fleisch & Fisch,16.45,0.5,0.3,,5.0,7.0,"{'unit': 'calories', 'value': 144.0}",0.5,1000.0,,,,,12.5,,,,,1.0,,144.0,Wiener Würstchen,Rewe Bio  1 Stk.,,,
